Prior_Emotion	Sentence	Attention	Certainty	Effort	Pleasantness	Responsibility/Control	Situational Control
Joy	I felt ... when I completed a very long mountain trek for charity, and felt utter ... when I finished.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when my dog finally learnt how to go outside rather than peeing in the house. I was over the moon, because it took quite a while to train her. I remember I couldn’t stop smiling, I was so ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... riffing out a song with the man I loved outside a pub in Chelsea.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I saw bees coming back to my garden after few years of absence.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I finally started to complete my postgraduate degree. I had waited so long to start and at times didn’t think it would be possible. So when I finally started it I was very ...	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I managed to complete a cryptic crossword.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... that I received a Valentines Day card, and happened to recognise the handwriting as being from a girl I had a huge crush on.	0.15	0.46	-0.33	1.46	0.09	-0.21
Joy	I felt ... when I managed to get all my tasks done in the day I wanted to without being sidetracked or giving up.	0.15	0.46	-0.33	1.46	0.09	-0.21
Sadness	I feel ... when I read about orangutans and palm oil.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my kitten escaped and I thought I had lost him.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... a few days ago when I saw a homeless cat on the street.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I heard the story about the little girl on the radio who asked a charity for a job because her family couldn't afford any food.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my dad fell and hurt his ankle.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... because of all the children in the world suffering hardship and with no real future, whilst my own son is incapable of appreciating the many things and advantages he has.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my pet tortoise got lost. We had kept him as a family pet for 20 years and then one day he got out of the garden and went missing.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... because a guy that I was dating suddenly changed and went cold and I had no idea why.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my daughter was upset because of a bad relationship.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when there was a documentary about starving african children on television.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when President Kennedy was shot in Dallas Texas.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when an impoverished family we know well hid the fact that they were expecting a baby so they wouldn't impose on anyone any more than they already had. The lady hid when anyone came round.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when a horse was killed in the Grand National.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when my college course finished as I was unsure how I was going to fill my spare time and losing some friends	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I saw an old man waiting alone at the bus stop in the rain with his shopping bags, wondering if he had any family or friends who might be helping him out.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Sadness	I felt ... when I saw a recent wildlife documentary where the young babies died.	-0.21	0.0	-0.14	-0.87	-0.36	1.15
Shame	I felt ... at Halloween time many years ago, my friends and I were out playing and decided to play pranks on our neighbours. One elderly lady that lived near us was the first house we called to. The lady got very frightened when she saw a group of young lads at her door and I knew that this was not right. I told all of my friends that we shouldn't be doing this to old ladies, some agreed, some didn't, but I felt ... all the same.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I couldn't find anyone to allow me to swap in with me on the hockey field. I was not good at team sports, always picked last, and the teacher had told me to swap in with someone, but everyone refused as they wanted a decent game.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... that the neighbours in the small village that I lived in knew that my ex husband was messing around on the internet chatting up other women before I did.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I feel ... because I behave in a way that I am not proud of. I feel ... when I walk past homeless people in the street without offering any help or money. The ... is because I feel that I am responsible for doing something but I do not know how to help. I have been told I should not give them money but it is so hard when it is cold.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... because I fell over in public.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... giving a cheque to the managing agent which did not cover all I owed.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
Shame	I felt ... when I was an air stewardess on a flight and I announced to the passengers that we were arriving in Edinburgh, when really it was London Heathrow.	-0.11	-0.21	0.07	-0.73	1.31	-0.07
